IssueID,EventCount,EventSequence
188285,4,"[""labeled"", ""renamed"", ""milestoned"", ""assigned""]"
"""188285""",4,"[""assigned"", ""labeled"", ""milestoned"", ""renamed""]"
169844,3,"[""closed"", ""merged"", ""referenced""]"
"""169844""",3,"[""referenced"", ""closed"", ""merged""]"
184000,3,"[""referenced"", ""merged"", ""closed""]"
"""184000""",3,"[""closed"", ""merged"", ""referenced""]"
188131,3,"[""labeled"", ""milestoned"", ""assigned""]"
"""188131""",3,"[""labeled"", ""assigned"", ""milestoned""]"
188136,3,"[""closed"", ""labeled"", ""assigned""]"
"""188136""",3,"[""assigned"", ""closed"", ""labeled""]"
188141,3,"[""assigned"", ""closed"", ""labeled""]"
"""188141""",3,"[""closed"", ""labeled"", ""assigned""]"
188145,3,"[""assigned"", ""milestoned"", ""labeled""]"
"""188145""",3,"[""milestoned"", ""labeled"", ""assigned""]"
188150,3,"[""assigned"", ""labeled"", ""unlabeled""]"
"""188150""",3,"[""unlabeled"", ""assigned"", ""labeled""]"
"""188163""",3,"[""assigned"", ""labeled"", ""closed""]"
188163,3,"[""labeled"", ""closed"", ""assigned""]"
"""188169""",3,"[""closed"", ""assigned"", ""labeled""]"
188169,3,"[""labeled"", ""closed"", ""assigned""]"
188172,3,"[""renamed"", ""labeled"", ""assigned""]"
"""188172""",3,"[""labeled"", ""renamed"", ""assigned""]"
"""188185""",3,"[""labeled"", ""closed"", ""assigned""]"
188185,3,"[""labeled"", ""closed"", ""assigned""]"
188187,3,"[""assigned"", ""milestoned"", ""labeled""]"
"""188187""",3,"[""labeled"", ""assigned"", ""milestoned""]"
"""188195""",3,"[""assigned"", ""labeled"", ""closed""]"
188195,3,"[""labeled"", ""closed"", ""assigned""]"
188207,3,"[""milestoned"", ""assigned"", ""labeled""]"
"""188207""",3,"[""assigned"", ""milestoned"", ""labeled""]"
"""188222""",3,"[""labeled"", ""assigned"", ""closed""]"
188222,3,"[""closed"", ""assigned"", ""labeled""]"
"""188227""",3,"[""closed"", ""labeled"", ""assigned""]"
188227,3,"[""labeled"", ""closed"", ""assigned""]"
188232,3,"[""closed"", ""closed"", ""closed""]"
188231,3,"[""closed"", ""closed"", ""closed""]"
"""188232""",3,"[""closed"", ""closed"", ""closed""]"
"""188231""",3,"[""closed"", ""closed"", ""closed""]"
188238,3,"[""milestoned"", ""assigned"", ""labeled""]"
"""188238""",3,"[""assigned"", ""labeled"", ""milestoned""]"
188239,3,"[""renamed"", ""unassigned"", ""assigned""]"
"""188239""",3,"[""renamed"", ""unassigned"", ""assigned""]"
188241,3,"[""subscribed"", ""mentioned"", ""assigned""]"
"""188241""",3,"[""mentioned"", ""subscribed"", ""assigned""]"
188242,3,"[""unlabeled"", ""labeled"", ""assigned""]"
"""188242""",3,"[""assigned"", ""unlabeled"", ""labeled""]"
188249,3,"[""assigned"", ""closed"", ""labeled""]"
"""188249""",3,"[""labeled"", ""assigned"", ""closed""]"
188255,3,"[""labeled"", ""assigned"", ""closed""]"
"""188255""",3,"[""closed"", ""labeled"", ""assigned""]"
188259,3,"[""assigned"", ""labeled"", ""milestoned""]"
"""188259""",3,"[""assigned"", ""labeled"", ""milestoned""]"
188262,3,"[""labeled"", ""unlabeled"", ""assigned""]"
"""188262""",3,"[""unlabeled"", ""assigned"", ""labeled""]"
188274,3,"[""assigned"", ""milestoned"", ""auto_squash_enabled""]"
"""188274""",3,"[""assigned"", ""auto_squash_enabled"", ""milestoned""]"
188281,3,"[""closed"", ""assigned"", ""labeled""]"
"""188281""",3,"[""labeled"", ""closed"", ""assigned""]"
188282,3,"[""labeled"", ""assigned"", ""milestoned""]"
"""188282""",3,"[""labeled"", ""milestoned"", ""assigned""]"
