User1,User2,SharedIssues,Issues
"""lramos15""","""joelday""",2,"[""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905]"
"""lramos15""","""JacksonKearl""",2,"[""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, ""136905"", ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, 136905, ""136905"", ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, 136905]"
"""joelday""","""JacksonKearl""",2,"[""136905"", ""136905"", 136905, 136905, ""136905"", 136905, ""136905"", ""136905"", 136905, 136905, ""136905"", 136905, ""136905"", ""136905"", 136905, 136905, ""136905"", ""136905"", 136905, 136905]"
"""lramos15""","""jzyrobert""",2,"[""136905"", ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, 136905, ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, ""136905"", ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, 136905, ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905]"
"""joelday""","""jzyrobert""",2,"[""136905"", ""136905"", 136905, 136905, ""136905"", 136905, ""136905"", ""136905"", 136905, 136905, ""136905"", 136905]"
"""JacksonKearl""","""jzyrobert""",2,"[""136905"", ""136905"", ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, 136905, 136905, ""136905"", ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, 136905, ""136905"", ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, 136905, ""136905"", ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, 136905]"
"""lramos15""","""AmitPr""",2,"[""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905]"
"""joelday""","""AmitPr""",2,"[""136905"", 136905, ""136905"", 136905]"
"""JacksonKearl""","""AmitPr""",2,"[""136905"", ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, 136905, ""136905"", ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, 136905]"
"""jzyrobert""","""AmitPr""",2,"[""136905"", ""136905"", ""136905"", 136905, 136905, 136905, ""136905"", ""136905"", ""136905"", 136905, 136905, 136905]"
"""lramos15""","""xfusek08""",2,"[""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905]"
"""joelday""","""xfusek08""",2,"[""136905"", 136905]"
"""JacksonKearl""","""xfusek08""",2,"[""136905"", ""136905"", ""136905"", ""136905"", ""136905"", 136905, 136905, 136905, 136905, 136905]"
"""jzyrobert""","""xfusek08""",2,"[""136905"", ""136905"", ""136905"", 136905, 136905, 136905]"
"""AmitPr""","""xfusek08""",2,"[""136905"", 136905]"
"""sbatten""","""floydnant""",2,"[""152381"", ""152381"", 152381, 152381, ""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", 152381, 152381]"
"""sbatten""","""vlrevolution""",2,"[""152381"", ""152381"", 152381, 152381, ""152381"", ""152381"", 152381, 152381]"
"""floydnant""","""vlrevolution""",2,"[""152381"", ""152381"", 152381, 152381, ""152381"", ""152381"", 152381, 152381]"
"""sbatten""","""meganrogge""",2,"[""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", 152381, 152381]"
"""floydnant""","""meganrogge""",2,"[""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", ""152381"", 152381, 152381, 152381]"
"""vlrevolution""","""meganrogge""",2,"[""152381"", ""152381"", 152381, 152381, ""152381"", ""152381"", 152381, 152381, ""152381"", ""152381"", 152381, 152381]"
"""alexr00""","""meganrogge""",2,"[""188153"", ""188153"", ""188153"", ""188153"", 188153, 188153, 188153, 188153, ""188153"", ""188153"", ""188153"", 188153, 188153, 188153, ""188153"", ""188153"", ""188153"", 188153, 188153, 188153, ""188153"", ""188153"", ""188153"", 188153, 188153, 188153, ""188153"", ""188153"", ""188153"", 188153, 188153, 188153]"
"""IllusionMH""","""meganrogge""",2,"[""188153"", 188153, ""188153"", 188153, ""188153"", 188153, ""188153"", 188153]"
"""amunger""","""meganrogge""",2,"[""188188"", ""188188"", 188188, 188188, ""188188"", ""188188"", 188188, 188188, ""188188"", ""188188"", 188188, 188188]"
"""scnwwu""","""meganrogge""",2,"[""188228"", ""188228"", 188228, 188228, ""188228"", ""188228"", 188228, 188228]"
"""daviddossett""","""meganrogge""",2,"[""188127"", ""188127"", ""188127"", ""188127"", 188127, 188127, 188127, 188127, ""188127"", ""188127"", ""188127"", 188127, 188127, 188127]"
"""Roopesh-T""","""meganrogge""",2,"[""188127"", ""188127"", 188127, 188127, ""188127"", ""188127"", 188127, 188127]"
"""HeinrichAD""","""mjbvz""",2,"[""188197"", ""188197"", 188197, 188197, ""188197"", ""188197"", 188197, 188197]"
"""rebornix""","""mjbvz""",2,"[""188117"", ""188117"", 188117, 188117, ""188117"", 188117, ""188117"", ""188117"", 188117, 188117, ""188117"", ""188117"", 188117, 188117, ""188117"", ""188117"", 188117, 188117, ""188117"", ""188117"", 188117, 188117]"
"""christian-bromann""","""mjbvz""",2,"[""188117"", ""188117"", ""188117"", 188117, 188117, 188117, ""188117"", ""188117"", ""188117"", 188117, 188117, 188117, ""188117"", ""188117"", ""188117"", 188117, 188117, 188117, ""188117"", ""188117"", ""188117"", 188117, 188117, 188117, ""188117"", ""188117"", ""188117"", 188117, 188117, 188117, ""188117"", ""188117"", ""188117"", 188117, 188117, 188117]"
"""bpasero""","""mjbvz""",2,"[""181489"", 181489, ""181489"", 181489, ""181489"", 181489, ""181489"", 181489]"
